burlig_trt,burlig_trt_take,baseline_employees,baseline_wages,baseline_sales,baseline_owner_female,endline_wages,endline_employees,endline_sales,endline_owner_female
0,0,33.92849,206338,1.94e+07,0,1292050,33.92849,1.94e+07,0
0,0,33.26088,209640,1.92e+07,0,1273988,33.26088,1.92e+07,0
0,0,31.74233,75160,1.95e+07,1,1090915,31.74233,1.94e+07,1
0,0,32.84584,171500,1.95e+07,0,1222567,32.84584,1.95e+07,0
0,0,30.18195,249869,1.95e+07,0,1215691,30.18195,1.95e+07,0
0,0,30.23629,31800,1.95e+07,0,999361.3,30.23629,1.96e+07,0
0,0,38.53341,35000,1.95e+07,1,1268069,38.53341,1.95e+07,1
0,0,35.17558,35000,1.92e+07,1,1160619,35.17558,1.93e+07,1
0,0,22.34669,47373,1.93e+07,1,762467.1,22.34669,1.92e+07,1
0,0,29.41091,33024,1.97e+07,0,974173.3,29.41091,1.96e+07,0
0,0,28.36699,35000,2.00e+07,0,942743.6,28.36699,2.00e+07,0
0,0,31.27002,32030,2.00e+07,0,1032671,31.27002,1.99e+07,0
0,0,29.29666,122539,1.96e+07,1,1060032,29.29666,1.96e+07,1
0,0,34.58822,35000,1.97e+07,0,1141823,34.58822,1.96e+07,0
0,0,36.00845,35000,1.95e+07,1,1187270,36.00845,1.95e+07,1
0,0,25.51187,123503,2.00e+07,1,939882.7,25.51187,2.01e+07,1
0,0,25.89099,74382,1.95e+07,0,902893.7,25.89099,1.94e+07,0
0,0,29.50183,196033,2.01e+07,0,1140092,29.50183,2.01e+07,0
0,0,37.03899,40595,1.96e+07,0,1225843,37.03899,1.96e+07,0
0,0,26.70469,35000,1.92e+07,0,889550.1,26.70469,1.91e+07,0
0,0,28.79599,35000,1.93e+07,0,956471.8,28.79599,1.93e+07,0
0,0,29.75557,35000,1.95e+07,0,987178.1,29.75557,1.94e+07,0
0,0,29.22906,69959,1.98e+07,1,1005289,29.22906,1.98e+07,1
0,0,33.13862,35000,1.91e+07,1,1095436,33.13862,1.90e+07,1
0,0,31.76494,154801,1.99e+07,1,1171279,31.76494,1.99e+07,1
0,0,29.8134,135265,1.86e+07,1,1089294,29.8134,1.86e+07,1
0,0,27.55325,35000,1.96e+07,1,916703.9,27.55325,1.97e+07,1
0,0,31.53321,35000,1.97e+07,1,1044063,31.53321,1.97e+07,1
0,0,21.88216,35000,1.98e+07,1,735229.3,21.88216,1.98e+07,1
0,0,37.43148,277831,1.96e+07,1,1475638,37.43148,1.96e+07,1
0,0,33.83958,340099,1.96e+07,1,1422966,33.83958,1.96e+07,1
0,0,29.05173,82208,1.94e+07,0,1011863,29.05173,1.94e+07,0
0,0,32.25384,45432,1.96e+07,1,1077555,32.25384,1.96e+07,1
0,0,29.01281,59057,1.94e+07,1,987467.1,29.01281,1.94e+07,1
0,0,26.85226,35000,1.94e+07,0,894272.2,26.85226,1.94e+07,0
0,0,23.82716,33442,1.92e+07,0,795911.1,23.82716,1.92e+07,0
0,0,23.49957,160737,1.95e+07,0,912723.3,23.49957,1.95e+07,0
0,0,27.1964,35000,1.95e+07,0,905284.8,27.1964,1.95e+07,0
0,0,33.16304,16113,1.94e+07,1,1077330,33.16304,1.93e+07,1
0,0,13.34561,80946,1.95e+07,0,508005.4,13.34561,1.94e+07,0
0,0,39.90179,35000,1.93e+07,1,1311857,39.90179,1.95e+07,1
0,0,32.87723,35000,1.95e+07,0,1087071,32.87723,1.95e+07,0
0,0,35.00617,91835,1.92e+07,0,1212033,35.00617,1.91e+07,0
0,0,33.17311,35000,1.95e+07,0,1096540,33.17311,1.95e+07,0
0,0,24.4174,35000,1.90e+07,1,816356.7,24.4174,1.91e+07,1
0,0,29.11814,563664,1.94e+07,0,1495445,29.11814,1.94e+07,0
0,0,37.80975,35000,1.93e+07,0,1244912,37.80975,1.92e+07,0
0,0,26.13733,64472,1.94e+07,0,900866.5,26.13733,1.94e+07,0
0,0,21.40813,75766,1.96e+07,0,760826.1,21.40813,1.95e+07,0
0,0,30.35007,22860,1.99e+07,0,994062.2,30.35007,1.98e+07,0
0,0,35.14706,35000,1.94e+07,0,1159706,35.14706,1.93e+07,0
0,0,34.51042,35000,1.93e+07,0,1139333,34.51042,1.93e+07,0
0,0,33.00321,35000,1.93e+07,1,1091103,33.00321,1.92e+07,1
0,0,33.57588,230889,2.00e+07,1,1305317,33.57588,2.00e+07,1
0,0,38.44833,292469,1.91e+07,1,1522815,38.44833,1.90e+07,1
0,0,32.03933,236495,1.95e+07,0,1261754,32.03933,1.94e+07,0
0,0,27.99302,129311,1.95e+07,0,1025088,27.99302,1.95e+07,0
0,0,19.96186,35000,2.01e+07,0,673779.7,19.96186,2.01e+07,0
0,0,22.4151,35000,1.89e+07,1,752283.2,22.4151,1.89e+07,1
0,0,37.62556,35000,1.95e+07,1,1239018,37.62556,1.94e+07,1
0,0,33.98489,35000,1.93e+07,0,1122517,33.98489,1.95e+07,0
0,0,38.3084,243410,1.95e+07,1,1469279,38.3084,1.95e+07,1
0,0,27.23927,35000,1.96e+07,1,906656.6,27.23927,1.96e+07,1
0,0,38.71479,295890,1.93e+07,0,1534763,38.71479,1.94e+07,0
0,0,32.91386,35000,1.94e+07,0,1088243,32.91386,1.94e+07,0
0,0,31.89267,35000,1.98e+07,0,1055566,31.89267,1.98e+07,0
0,0,34.31138,118121,2.00e+07,1,1216085,34.31138,2.00e+07,1
0,0,21.56821,27324,1.92e+07,1,717506.6,21.56821,1.93e+07,1
0,0,30.91805,35000,1.93e+07,0,1024378,30.91805,1.93e+07,0
0,0,29.04348,35000,1.92e+07,0,964391.3,29.04348,1.92e+07,0
0,0,28.20148,35000,1.98e+07,0,937447.3,28.20148,1.97e+07,0
0,0,28.70723,35000,1.97e+07,0,953631.3,28.70723,1.96e+07,0
0,0,33.89084,40673,1.95e+07,1,1125180,33.89084,1.95e+07,1
0,0,40.35851,340488,1.99e+07,0,1631960,40.35851,1.99e+07,0
0,0,35.38973,24581,1.99e+07,1,1157052,35.38973,1.98e+07,1
0,0,26.02104,35000,1.95e+07,1,867673.2,26.02104,1.95e+07,1
0,0,35.17147,45629,2.01e+07,0,1171116,35.17147,2.00e+07,0
0,0,42.0094,35000,1.96e+07,0,1379301,42.0094,1.96e+07,0
0,0,25.88096,35000,1.95e+07,0,863190.6,25.88096,1.96e+07,0
0,0,22.78206,24063,2.00e+07,1,753088.8,22.78206,2.00e+07,1
0,0,34.36362,35000,1.92e+07,0,1134636,34.36362,1.91e+07,0
0,0,25.84656,35000,1.87e+07,0,862090,25.84656,1.87e+07,0
0,0,25.02432,35000,1.87e+07,0,835778.4,25.02432,1.87e+07,0
0,0,25.20204,35000,1.91e+07,0,841465.3,25.20204,1.91e+07,0
0,0,36.43781,335639,1.95e+07,0,1501649,36.43781,1.95e+07,0
0,0,27.57029,35000,1.93e+07,0,917249.1,27.57029,1.93e+07,0
0,0,21.03294,46339,1.91e+07,0,719393.1,21.03294,1.92e+07,0
0,0,36.13517,76445,1.88e+07,0,1232771,36.13517,1.89e+07,0
0,0,20.22809,109651,1.92e+07,0,756949.8,20.22809,1.91e+07,0
0,0,25.46897,119101,1.93e+07,0,934107.9,25.46897,1.93e+07,0
0,0,22.33983,35000,1.98e+07,1,749874.6,22.33983,1.98e+07,1
0,0,32.59027,35000,1.95e+07,0,1077889,32.59027,1.94e+07,0
0,0,30.42111,35000,1.93e+07,1,1008476,30.42111,1.93e+07,1
0,0,31.95519,35000,1.91e+07,0,1057566,31.95519,1.91e+07,0
0,0,26.67614,78855,1.95e+07,1,932491.5,26.67614,1.95e+07,1
0,0,26.99859,159289,1.98e+07,0,1023244,26.99859,1.99e+07,0
0,0,25.63411,254652,1.94e+07,0,1074943,25.63411,1.94e+07,0
0,0,21.00339,18925,1.93e+07,1,691033.4,21.00339,1.92e+07,1
0,0,20.95153,35000,1.97e+07,0,705448.9,20.95153,1.97e+07,0
0,0,30.73787,35000,1.86e+07,1,1018612,30.73787,1.87e+07,1
0,0,23.76686,35000,1.88e+07,1,795539.5,23.76686,1.88e+07,1
0,0,28.75664,108121,1.96e+07,0,1028333,28.75664,1.96e+07,0
0,0,32.40942,152219,1.98e+07,1,1189320,32.40942,1.98e+07,1
0,0,30.68697,19994,1.89e+07,1,1001977,30.68697,1.89e+07,1
0,0,42.01811,35000,1.93e+07,0,1379580,42.01811,1.93e+07,0
0,0,35.14244,35000,1.95e+07,0,1159558,35.14244,1.95e+07,0
0,0,29.66256,67720,1.99e+07,0,1016922,29.66256,1.99e+07,0
0,0,23.20645,35000,1.99e+07,0,777606.3,23.20645,2.00e+07,0
0,0,22.22065,35000,1.96e+07,0,746060.9,22.22065,1.95e+07,0
0,0,35.02543,195883,1.95e+07,1,1316697,35.02543,1.95e+07,1
0,0,28.27524,246216,1.96e+07,0,1151024,28.27524,1.96e+07,0
0,0,32.59868,35000,1.94e+07,0,1078158,32.59868,1.93e+07,0
0,0,29.55641,118977,1.99e+07,0,1064782,29.55641,2.00e+07,0
0,0,31.25441,314961,2.00e+07,1,1315102,31.25441,2.00e+07,1
0,0,32.49202,94796,1.95e+07,0,1134541,32.49202,1.95e+07,0
0,0,28.96319,349391,1.91e+07,1,1276213,28.96319,1.91e+07,1
0,0,30.08206,35000,1.94e+07,1,997626.1,30.08206,1.94e+07,1
0,0,30.76208,35000,1.95e+07,0,1019387,30.76208,1.96e+07,0
0,0,29.91485,35000,1.96e+07,1,992275.1,29.91485,1.96e+07,1
0,0,36.17265,35000,1.90e+07,1,1192525,36.17265,1.90e+07,1
0,0,23.5214,44940,1.98e+07,0,797624.7,23.5214,1.99e+07,0
0,0,21.78079,35000,1.97e+07,1,731985.4,21.78079,1.97e+07,1
0,0,18.82557,131038,1.99e+07,1,733456.1,18.82557,1.98e+07,1
0,0,23.76149,108676,1.98e+07,1,869043.8,23.76149,1.99e+07,1
0,0,29.05177,59751,1.88e+07,0,989407.6,29.05177,1.88e+07,0
0,0,35.96688,191478,1.93e+07,0,1342418,35.96688,1.93e+07,0
0,0,34.18883,139880,1.97e+07,0,1233923,34.18883,1.97e+07,0
0,0,36.08907,35000,1.94e+07,0,1189850,36.08907,1.92e+07,0
0,0,32.67923,169867,1.93e+07,0,1215602,32.67923,1.93e+07,0
0,0,23.91868,35000,2.01e+07,0,800397.7,23.91868,2.00e+07,0
0,0,25.45111,86052,1.95e+07,1,900487.4,25.45111,1.95e+07,1
0,0,18.57312,125405,1.92e+07,1,719744.9,18.57312,1.92e+07,1
0,0,38.97334,166071,1.95e+07,1,1413218,38.97334,1.94e+07,1
0,0,32.26434,35000,1.97e+07,0,1067459,32.26434,1.96e+07,0
0,0,32.08554,35000,1.96e+07,0,1061737,32.08554,1.96e+07,0
0,0,33.4905,35000,1.95e+07,0,1106696,33.4905,1.95e+07,0
0,0,32.75592,47496,1.94e+07,1,1095685,32.75592,1.95e+07,1
0,0,39.65115,35000,1.95e+07,1,1303837,39.65115,1.95e+07,1
0,0,29.86601,35000,1.94e+07,0,990712.3,29.86601,1.94e+07,0
0,0,37.14689,118702,1.90e+07,0,1307403,37.14689,1.90e+07,0
0,0,29.50802,35000,1.94e+07,1,979256.5,29.50802,1.94e+07,1
0,0,27.48214,84836,1.98e+07,1,964264.4,27.48214,1.98e+07,1
0,0,36.41924,77203,1.99e+07,0,1242619,36.41924,1.99e+07,0
0,0,32.99498,35000,1.95e+07,1,1090840,32.99498,1.95e+07,1
0,0,42.93204,227315,1.95e+07,1,1601141,42.93204,1.94e+07,1
0,0,23.57261,177313,1.99e+07,0,931636.4,23.57261,1.99e+07,0
0,0,26.82947,35000,1.95e+07,0,893543.1,26.82947,1.95e+07,0
0,0,32.62452,35000,2.00e+07,1,1078985,32.62452,2.00e+07,1
0,0,30.42698,35000,1.93e+07,0,1008663,30.42698,1.93e+07,0
0,0,27.52763,174218,1.93e+07,0,1055102,27.52763,1.93e+07,0
0,0,32.82072,53544,1.93e+07,1,1103807,32.82072,1.93e+07,1
0,0,41.08617,104365,1.99e+07,1,1419122,41.08617,1.99e+07,1
0,0,37.58308,35000,1.99e+07,1,1237659,37.58308,2.00e+07,1
0,0,37.26186,35000,1.96e+07,1,1227380,37.26186,1.97e+07,1
0,0,29.109,35000,2.00e+07,0,966487.9,29.109,2.01e+07,0
0,0,28.34274,105157,1.95e+07,0,1012125,28.34274,1.95e+07,0
0,0,42.29558,54333,1.99e+07,0,1407792,42.29558,1.99e+07,0
0,0,37.29177,35000,1.95e+07,0,1228337,37.29177,1.95e+07,0
0,0,29.16914,33875,1.95e+07,0,967287.4,29.16914,1.96e+07,0
0,0,32.46345,326228,1.98e+07,0,1365058,32.46345,1.98e+07,0
0,0,28.12046,35000,1.95e+07,1,934854.6,28.12046,1.95e+07,1
0,0,26.89804,195003,1.87e+07,0,1055740,26.89804,1.87e+07,0
0,0,35.02399,35000,1.95e+07,0,1155768,35.02399,1.96e+07,0
0,0,20.84861,84663,2.00e+07,0,751818.4,20.84861,2.01e+07,0
0,0,34.14391,94102,1.98e+07,1,1186707,34.14391,1.98e+07,1
0,0,31.4256,247255,1.92e+07,1,1252874,31.4256,1.93e+07,1
0,0,35.14581,35000,1.93e+07,0,1159666,35.14581,1.94e+07,0
0,0,22.33588,43009,1.94e+07,1,757757.1,22.33588,1.94e+07,1
0,0,33.69897,76248,1.89e+07,1,1154615,33.69897,1.88e+07,1
0,0,24.30771,35000,1.98e+07,1,812846.6,24.30771,1.98e+07,1
0,0,31.37679,35000,1.87e+07,1,1039057,31.37679,1.86e+07,1
0,0,19.31964,75369,1.90e+07,1,693597.4,19.31964,1.91e+07,1
0,0,25.00029,35000,1.95e+07,0,835009.3,25.00029,1.96e+07,0
0,0,30.22379,89908,1.98e+07,0,1057069,30.22379,1.98e+07,0
0,0,40.61774,35000,1.98e+07,0,1334768,40.61774,1.98e+07,0
0,0,23.36451,35000,1.98e+07,1,782664.3,23.36451,1.99e+07,1
0,0,31.72269,35000,1.98e+07,1,1050126,31.72269,1.98e+07,1
0,0,33.77129,35000,1.95e+07,0,1115681,33.77129,1.96e+07,0
0,0,36.52767,22446,1.90e+07,0,1191332,36.52767,1.90e+07,0
0,0,29.71121,156174,1.94e+07,0,1106933,29.71121,1.95e+07,0
0,0,38.08232,71186,1.97e+07,0,1289820,38.08232,1.96e+07,0
0,0,30.93407,38243,1.96e+07,0,1028133,30.93407,1.97e+07,0
0,0,24.8566,35000,1.91e+07,0,830411.3,24.8566,1.91e+07,0
0,0,31.70437,35000,1.92e+07,0,1049540,31.70437,1.92e+07,0
0,0,22.36023,41966,1.93e+07,0,757493.4,22.36023,1.93e+07,0
0,0,27.5614,35000,1.95e+07,0,916964.9,27.5614,1.95e+07,0
0,0,31.03907,60159,1.95e+07,1,1053409,31.03907,1.95e+07,1
0,0,32.59144,35000,1.93e+07,0,1077926,32.59144,1.94e+07,0
0,0,34.36937,17000,1.95e+07,0,1116820,34.36937,1.94e+07,0
0,0,31.69399,15043,1.97e+07,1,1029251,31.69399,1.96e+07,1
0,0,35.53642,35000,1.94e+07,0,1172165,35.53642,1.94e+07,0
0,0,33.66145,108971,1.98e+07,0,1186137,33.66145,1.98e+07,0
0,0,29.02616,68865,1.94e+07,1,997702.1,29.02616,1.93e+07,1
0,0,26.7768,35000,1.98e+07,1,891857.8,26.7768,1.98e+07,1
0,0,29.83289,35000,1.92e+07,0,989652.4,29.83289,1.92e+07,0
0,0,32.04099,35000,1.92e+07,1,1060312,32.04099,1.94e+07,1
0,0,21.32428,208494,1.95e+07,1,890870.8,21.32428,1.95e+07,1
0,0,36.52932,169095,1.96e+07,0,1338033,36.52932,1.97e+07,0
0,0,34.51046,79527,1.98e+07,1,1183862,34.51046,1.99e+07,1
0,0,30.90926,35000,1.98e+07,1,1024096,30.90926,1.98e+07,1
0,0,22.88786,104232,1.95e+07,0,836643.4,22.88786,1.95e+07,0
0,0,36.16703,207266,1.93e+07,0,1364611,36.16703,1.93e+07,0
0,0,27.97964,237690,1.93e+07,1,1133039,27.97964,1.95e+07,1
0,0,24.96769,22466,1.99e+07,0,821431.9,24.96769,2.00e+07,0
0,0,33.17114,259659,1.96e+07,0,1321136,33.17114,1.97e+07,0
0,0,25.46152,35000,1.96e+07,0,849768.6,25.46152,1.96e+07,0
0,0,30.59131,35000,1.94e+07,0,1013922,30.59131,1.95e+07,0
0,0,24.69554,296634,1.95e+07,0,1086891,24.69554,1.95e+07,0
0,0,26.92396,102516,1.99e+07,0,964082.6,26.92396,1.99e+07,0
0,0,40.65191,35000,1.94e+07,0,1335861,40.65191,1.93e+07,0
0,0,20.74811,35000,1.96e+07,0,698939.4,20.74811,1.96e+07,0
0,0,30.69581,35000,1.98e+07,0,1017266,30.69581,1.99e+07,0
0,0,27.03509,35000,2.00e+07,0,900122.9,27.03509,2.00e+07,0
0,0,31.69414,166144,1.98e+07,0,1180357,31.69414,1.98e+07,0
0,0,35.14383,35000,1.93e+07,0,1159603,35.14383,1.93e+07,0
0,0,26.90342,122727,1.97e+07,0,983636.4,26.90342,1.97e+07,0
0,0,36.15133,35000,1.96e+07,0,1191843,36.15133,1.95e+07,0
0,0,32.62563,195696,1.90e+07,1,1239716,32.62563,1.90e+07,1
0,0,28.3666,35000,1.91e+07,1,942731.1,28.3666,1.91e+07,1
0,0,37.597,180981,1.99e+07,1,1384085,37.597,1.99e+07,1
0,0,32.64824,32018,1.93e+07,0,1076762,32.64824,1.93e+07,0
0,0,30.42398,35000,1.91e+07,0,1008567,30.42398,1.91e+07,0
0,0,28.04079,35000,1.96e+07,1,932305.4,28.04079,1.97e+07,1
0,0,28.43197,87767,1.94e+07,0,997589.9,28.43197,1.94e+07,0
0,0,38.00555,66051,1.95e+07,0,1282229,38.00555,1.94e+07,0
0,0,27.48772,35000,1.99e+07,0,914607,27.48772,1.99e+07,0
0,0,24.5437,136085,1.90e+07,0,921483.3,24.5437,1.90e+07,0
0,0,30.91661,35000,1.99e+07,0,1024332,30.91661,1.99e+07,0
0,0,37.94476,114038,1.97e+07,0,1328270,37.94476,1.97e+07,0
0,0,29.74,35000,1.93e+07,1,986679.9,29.74,1.92e+07,1
0,0,28.7252,35000,1.93e+07,1,954206.6,28.7252,1.93e+07,1
0,0,27.18031,120677,1.96e+07,0,990446.8,27.18031,1.96e+07,0
0,0,26.28266,35000,1.92e+07,0,876045.1,26.28266,1.91e+07,0
0,0,26.61234,76337,1.91e+07,1,927932.1,26.61234,1.91e+07,1
0,0,24.98095,35000,1.98e+07,0,834390.4,24.98095,1.98e+07,0
0,0,42.10357,179248,1.96e+07,0,1526562,42.10357,1.96e+07,0
0,0,39.43707,90564,1.96e+07,1,1352550,39.43707,1.96e+07,1
0,0,39.5667,167442,1.91e+07,0,1433576,39.5667,1.92e+07,0
0,0,26.75328,217754,1.98e+07,1,1073859,26.75328,1.99e+07,1
0,0,32.96207,248147,1.93e+07,1,1302933,32.96207,1.93e+07,1
0,0,26.41105,130967,1.94e+07,0,976120.4,26.41105,1.94e+07,0
0,0,22.58871,35000,1.96e+07,0,757838.9,22.58871,1.96e+07,0
0,0,22.05533,86808,2.01e+07,0,792578.6,22.05533,2.01e+07,0
0,0,32.14139,35000,1.94e+07,1,1063524,32.14139,1.94e+07,1
0,0,34.26451,229548,1.91e+07,0,1326012,34.26451,1.92e+07,0
0,0,30.33836,35000,1.96e+07,1,1005827,30.33836,1.97e+07,1
0,0,24.91456,35000,2.01e+07,1,832265.9,24.91456,2.01e+07,1
0,0,24.88114,35000,1.98e+07,0,831196.4,24.88114,1.99e+07,0
0,0,34.01153,75936,1.99e+07,0,1164305,34.01153,2.00e+07,0
0,0,37.02569,40489,1.96e+07,0,1225311,37.02569,1.96e+07,0
0,0,29.68731,215015,1.91e+07,0,1165009,29.68731,1.90e+07,0
0,0,33.05506,35000,2.03e+07,0,1092762,33.05506,2.03e+07,0
0,0,28.57861,153388,1.92e+07,1,1067904,28.57861,1.92e+07,1
0,0,33.80589,325184,1.95e+07,0,1406972,33.80589,1.96e+07,0
0,0,31.15014,35000,1.98e+07,1,1031804,31.15014,2.00e+07,1
0,0,27.5679,215367,1.93e+07,0,1097540,27.5679,1.93e+07,0
0,0,28.15475,94125,1.95e+07,0,995077,28.15475,1.95e+07,0
0,0,31.31892,35000,1.88e+07,1,1037205,31.31892,1.87e+07,1
0,0,25.60027,35000,1.95e+07,1,854208.7,25.60027,1.94e+07,1
0,0,31.11849,130436,1.95e+07,0,1126228,31.11849,1.95e+07,0
0,0,26.23878,35000,1.98e+07,0,874641,26.23878,1.98e+07,0
0,0,25.24352,85011,1.96e+07,0,892803.6,25.24352,1.95e+07,0
0,0,26.80491,20903,1.92e+07,0,878660,26.80491,1.93e+07,0
0,0,26.76919,156065,1.94e+07,0,1012679,26.76919,1.93e+07,0
0,0,25.16963,173624,1.98e+07,1,979052.3,25.16963,1.97e+07,1
0,0,35.3195,258904,1.92e+07,1,1389128,35.3195,1.91e+07,1
0,0,35.94463,102598,1.94e+07,0,1252826,35.94463,1.94e+07,0
0,0,26.28988,35000,1.95e+07,0,876276.1,26.28988,1.95e+07,0
0,0,28.49755,176427,1.95e+07,0,1088349,28.49755,1.94e+07,0
0,0,30.76237,97937,1.95e+07,0,1082333,30.76237,1.96e+07,0
0,0,31.94751,48061,1.91e+07,1,1070381,31.94751,1.91e+07,1
0,0,34.94263,21210,1.99e+07,1,1139374,34.94263,1.98e+07,1
0,0,29.68213,369596,1.93e+07,0,1319424,29.68213,1.94e+07,0
0,0,24.8725,35000,1.98e+07,0,830920.1,24.8725,1.97e+07,0
0,0,29.09965,62186,1.90e+07,0,993374.8,29.09965,1.89e+07,0
